,x
0.0,0.0
0.5005005005005005,0.1096785473635067
1.001001001001001,0.326056646240679
1.5015015015015014,0.5170804819094518
2.002002002002002,0.6545785244681195
2.5025025025025025,0.7543271777249849
3.003003003003003,0.8329501643938249
3.503503503503504,0.8999431259482115
4.004004004004004,0.9599685009056668
4.504504504504505,1.0149802028141537
5.005005005005005,1.066475851867148
5.505505505505505,1.1147076098766229
6.006006006006006,1.1595705653998565
6.506506506506507,1.2019295961762642
7.007007007007007,1.2415916473803652
7.5075075075075075,1.279004865823382
8.008008008008009,1.314130095525818
8.508508508508509,1.3473924424374484
9.00900900900901,1.3785247248846346
9.50950950950951,1.4082013423522235
